,num,noaa_u,datetime_u,date_p_u,lat_u,lon_u,lon_c_u,cent_dist_u,pos_angle_u,area_obs_u,area_cor_u,spot_n_u,class_z_u,class_h_u,noaa_d,datetime_d,date_p_d,lat_d,lon_d,lon_c_d,cent_dist_d,pos_angle_d,area_u_obs_d,area_obs_d,area_u_cor_d,area_cor_d,lat_f_d,lat_l_d,lon_f_d,lon_l_d,tilt_d,m1,m2,m3,m4,m5,m6,m7,ac,cycle
0,1,5409,1989-03-23 00:00:00,1989.221923828125,18.0,14.0,141.0,0.47699999809265137,331.20001220703125,1740.0,990.0,49.0,Eki,BGD,5409,1989-03-22 12:34:38,1989.21923828125,16.790000915527344,12.460000038146973,139.47999572753906,0.45320001244544983,332.7699890136719,209.0,2407.0,117.0,1334.0,16.75,17.850000381469727,139.3800048828125,141.64999389648438,-26.93000030517578,,,,,P,,V,1.0,22
1,2,5414,1989-03-24 00:00:00,1989.224609375,-18.0,49.0,163.0,0.7540000081062317,252.10000610351562,196.0,150.0,11.0,Dao,B,5414,1989-03-21 07:41:44,1989.2159423828125,-18.010000228881836,20.649999618530273,163.5399932861328,0.3921000063419342,239.22999572753906,66.0,441.0,35.0,238.0,-18.8799991607666,-17.40999984741211,161.7100067138672,164.7899932861328,26.549999237060547,,,,,,,V,1.0,22
2,3,5441,1989-04-10 00:00:00,1989.271240234375,36.0,-15.0,234.0,0.6970000267028809,17.5,473.0,330.0,20.0,Eki,BD,5441,1989-04-08 15:04:39,1989.26611328125,35.029998779296875,-29.549999237060547,231.82000732421875,0.7645999789237976,31.969999313354492,65.0,662.0,50.0,506.0,34.7400016784668,37.599998474121094,231.07000732421875,238.6699981689453,-24.65999984741211,,,,,,,V,1.0,22
3,4,5455,1989-04-14 00:00:00,1989.2822265625,19.0,-58.0,139.0,0.8840000033378601,65.0999984741211,18.0,20.0,4.0,Hxi,B,5455,1989-04-15 15:31:26,1989.2852783203125,24.93000030517578,-31.739999771118164,137.00999450683594,0.6891000270843506,43.97999954223633,1.0,8.0,1.0,6.0,24.75,25.280000686645508,136.3800048828125,138.27999877929688,-17.100000381469727,S,,,,,,V,1.0,22
4,5,5470,1989-05-05 00:00:00,1989.3397216796875,28.0,-17.0,262.0,0.5820000171661377,26.299999237060547,845.0,520.0,35.0,Eki,BGD,5470,1989-05-04 16:10:55,1989.3375244140625,29.440000534057617,-16.969999313354492,260.3699951171875,0.604200005531311,24.860000610351562,200.0,1248.0,125.0,775.0,30.100000381469727,29.100000381469727,257.70001220703125,261.75,15.819999694824219,,,,,,,V,1.0,22
5,6,5504,1989-05-24 00:00:00,1989.3917236328125,22.0,-9.0,19.0,0.42399999499320984,20.0,36.0,20.0,5.0,Bxo,B,5504,1989-05-23 14:51:46,1989.389404296875,22.270000457763672,-7.070000171661377,19.719999313354492,0.4230000078678131,15.630000114440918,7.0,31.0,4.0,17.0,22.709999084472656,21.889999389648438,18.56999969482422,20.75,21.93000030517578,S,,,,,,V,1.0,22
6,7,5548,1989-06-17 00:00:00,1989.45751953125,-22.0,58.0,128.0,0.8759999871253967,243.8000030517578,9.0,10.0,2.0,Axo,A,5548,1989-06-16 10:19:21,1989.45458984375,-21.549999237060547,57.959999084472656,129.63999938964844,0.8761000037193298,244.41000366210938,0.0,5.0,0.0,5.0,-21.15999984741211,-22.1299991607666,129.25999450683594,130.2100067138672,-47.77000045776367,S,,T,,,,V,1.0,22
7,8,5600,1989-07-22 00:00:00,1989.553466796875,-18.0,-35.0,292.0,0.6629999876022339,124.5999984741211,15.0,10.0,,nan,B,5600,1989-07-22 05:30:08,1989.552734375,-19.420000076293945,-27.010000228881836,290.8599853515625,0.5913000106811523,133.41000366210938,28.0,59.0,17.0,37.0,,,,,,,,,,X,,V,0.5211267471313477,22
8,9,5622,1989-08-09 00:00:00,1989.602783203125,-26.0,44.0,133.0,0.8050000071525574,230.89999389648438,332.0,280.0,11.0,Cko,B,5622,1989-08-08 06:07:22,1989.599365234375,-26.06999969482422,42.2599983215332,134.9499969482422,0.7922999858856201,229.82000732421875,85.0,544.0,65.0,444.0,-25.15999984741211,-26.219999313354492,130.6699981689453,135.66000366210938,-13.279999732971191,,,,,P,,V,1.0,22
9,10,5648,1989-08-17 00:00:00,1989.6246337890625,7.0,14.0,357.0,0.23999999463558197,271.70001220703125,19.0,10.0,2.0,Axo,B,5648,1989-08-17 14:01:05,1989.6248779296875,6.800000190734863,29.829999923706055,359.20001220703125,0.49619999527931213,271.8800048828125,9.0,14.0,4.0,9.0,6.769999980926514,6.849999904632568,358.8399963378906,359.6400146484375,-5.909999847412109,S,,,,,N,V,1.0,22
10,11,5656,1989-08-23 00:00:00,1989.64111328125,26.0,-32.0,232.0,0.5860000252723694,54.29999923706055,16.0,10.0,3.0,Bxo,B,5656,1989-08-23 12:01:47,1989.64111328125,25.459999084472656,-18.969999313354492,232.1999969482422,0.438400000333786,42.20000076293945,6.0,21.0,3.0,12.0,25.469999313354492,25.450000762939453,230.52999877929688,233.3800048828125,0.5,S,,,,,,V,1.0,22
11,12,5703,1989-09-22 00:00:00,1989.7232666015625,-23.0,-45.0,183.0,0.8009999990463257,125.69999694824219,71.0,60.0,10.0,Cso,B,5703,1989-09-21 06:46:37,1989.719970703125,-22.139999389648438,-44.65999984741211,186.42999267578125,0.7958999872207642,125.0,17.0,88.0,13.0,72.0,-24.09000015258789,-21.81999969482422,180.41000366210938,187.44000244140625,19.270000457763672,C,,,,P,,V,1.0,22
12,13,5729,1989-10-06 00:00:00,1989.7615966796875,-28.0,-61.0,342.0,0.9279999732971191,123.69999694824219,37.0,50.0,4.0,Hso,B,5729,1989-10-08 06:42:31,1989.7664794921875,-28.25,-24.43000030517578,342.3800048828125,0.6696000099182129,146.9499969482422,13.0,74.0,9.0,49.0,-28.219999313354492,-28.280000686645508,340.0899963378906,344.239990234375,-0.9900000095367432,,,,,,,V,1.0,22
13,14,5747,1989-10-19 00:00:00,1989.7972412109375,-27.0,-22.0,209.0,0.6269999742507935,147.8000030517578,1807.0,1160.0,36.0,Ekc,BD,5747,1989-10-19 07:18:55,1989.7967529296875,-26.719999313354492,-12.039999961853027,209.30999755859375,0.565500020980835,160.7100067138672,304.0,2235.0,180.0,1354.0,-26.559999465942383,-28.34000015258789,209.0800018310547,211.57000732421875,-38.63999938964844,,D,T,R,P,,V,1.0,22
14,15,5766,1989-10-28 00:00:00,1989.8218994140625,-29.0,-51.0,62.0,0.8610000014305115,127.80000305175781,20.0,20.0,4.0,Bxo,B,5766,1989-10-27 13:21:03,1989.8193359375,-29.59000015258789,-49.810001373291016,62.709999084472656,0.8572999835014343,129.07000732421875,17.0,49.0,17.0,47.0,-30.110000610351562,-29.31999969482422,60.81999969482422,63.689998626708984,17.65999984741211,S,,,,,,V,1.0,22
15,16,5793,1989-11-17 00:00:00,1989.876708984375,-25.0,-11.0,198.0,0.492000013589859,159.39999389648438,504.0,290.0,14.0,Dko,B,5793,1989-11-14 05:44:00,1989.8677978515625,-25.979999542236328,-38.08000183105469,201.2899932861328,0.7311000227928162,130.52999877929688,72.0,661.0,51.0,479.0,-27.219999313354492,-25.68000030517578,197.02999877929688,202.3000030517578,18.010000228881836,,,,,P,,V,1.0,22
16,17,5867,1990-01-02 00:00:00,1990.002685546875,-24.0,37.0,0.0,0.6589999794960022,236.5,15.0,10.0,3.0,Axo,A,5867,1990-01-02 08:41:37,1990.0023193359375,-23.950000762939453,48.77000045776367,0.8500000238418579,0.7836999893188477,241.58999633789062,6.0,30.0,6.0,27.0,-23.350000381469727,-25.329999923706055,0.3499999940395355,2.009999990463257,-52.56999969482422,S,,T,,P,,V,1.0,22
17,18,6022,1990-04-20 00:00:00,1990.298583984375,31.0,3.0,343.0,0.5899999737739563,355.6000061035156,1152.0,714.0,,nan,B,6022,1990-04-20 12:25:47,1990.2987060546875,32.130001068115234,13.779999732971191,340.5799865722656,0.6410999894142151,341.4599914550781,208.0,1425.0,141.0,942.0,,,,,,,D,T,R,X,N,V,0.8602739572525024,22
18,19,6051,1990-05-07 00:00:00,1990.34521484375,-9.0,81.0,196.0,0.9869999885559082,261.3999938964844,16.0,50.0,4.0,Bxo,B,6051,1990-05-06 10:37:19,1990.34228515625,-9.760000228881836,80.9000015258789,197.32000732421875,0.9866999983787537,260.70001220703125,0.0,21.0,0.0,79.0,-9.5600004196167,-9.9399995803833,196.14999389648438,198.39999389648438,-9.859999656677246,,,,,,,V,1.0,22
19,20,6063,1990-05-16 00:00:00,1990.369873046875,33.0,-34.0,322.0,0.7400000095367432,39.29999923706055,863.0,642.0,,nan,BD,6063,1990-05-16 06:31:29,1990.3692626953125,34.9900016784668,-27.8700008392334,318.55999755859375,0.7184000015258789,32.349998474121094,176.0,985.0,134.0,719.0,,,,,,,W,,,X,,V,0.6834600567817688,22
